Strategy,Position,Trade Price,Trade Time,Eval Time,Status
P530SMA1,-105,44390.0,2023-10-13 09:46:02.204261,2023-10-13 09:46:02.204261,-1.0
P530SMA2,-105,44381.0,2023-10-13 10:16:02.121181,2023-10-13 10:16:02.121181,-1.0
P530SMA3,-105,44381.0,2023-10-13 10:16:03.455152,2023-10-13 10:16:03.455152,-1.0
P530EMA1,-105,44390.0,2023-10-13 09:46:03.401241,2023-10-13 09:46:03.401241,-1.0
P530EMA2,-105,44390.0,2023-10-13 09:46:04.438222,2023-10-13 09:46:04.438222,-1.0
P560SMA1,105,,,,
P560SMA2,-105,,,,
P560SMA3,105,,,,
P560SMA4,-105,44381.0,2023-10-13 10:16:01.205195,2023-10-13 10:16:01.205195,-1.0
P560EMA1,105,,,,
P560EMA2,0,44381.0,2023-10-13 10:16:02.240176,2023-10-13 10:16:02.240176,-1.0
P5DSMA1,105,,,,
P5DSMA2,-105,,,,
P5DSMA3,-105,,,,
P5DSMA4,-105,,,,
P5DEMA1,-105,,,,
P5DEMA2,105,,,,
P5DEMA3,-105,,,,
